 CONF#         E (xTB)          ΔE (xTB)          E (DFT)          ΔE (DFT)        ΔGsolv (xTB)          Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]          [Eh]           [kcal/mol]        [kcal/mol]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF129       -32.505096          1.33          -427.984267          0.83           -1.716592         -427.987003          0.86                1.26         
CONF130       -32.505132          1.30          -427.982026          2.24           -1.692557         -427.984723          2.29                0.11         
CONF131       -32.505131          1.31          -427.982000          2.26           -1.691985         -427.984696          2.31                0.11         
CONF132       -32.504969          1.41          -427.979896          3.58           -1.793417         -427.982754          3.53                0.01         
CONF133       -32.505108          1.32          -427.983238          1.48           -1.705480         -427.985955          1.52                0.41         
CONF134       -32.505206          1.26          -427.983450          1.35           -1.635441         -427.986057          1.46                0.46         
CONF135       -32.505150          1.29          -427.983928          1.05           -1.669459         -427.986588          1.12                0.81         
CONF136       -32.505142          1.30          -427.983976          1.02           -1.669813         -427.986637          1.09                0.85         
CONF137       -32.505144          1.30          -427.983972          1.02           -1.669035         -427.986631          1.10                0.85         
CONF138       -32.505046          1.36          -427.980959          2.91           -1.720599         -427.983701          2.94                0.04         
CONF139       -32.505065          1.35          -427.981773          2.40           -1.696536         -427.984476          2.45                0.09         
CONF140       -32.505110          1.32          -427.983795          1.13           -1.650597         -427.986425          1.23                0.68         
CONF141       -32.505088          1.33          -427.983469          1.33           -1.656414         -427.986108          1.43                0.49         
CONF142       -32.505098          1.33          -427.983867          1.08           -1.647907         -427.986493          1.18                0.73         
CONF143       -32.505275          1.22          -427.981959          2.28           -1.527612         -427.984393          2.50                0.08         
CONF144       -32.505273          1.22          -427.981896          2.32           -1.523977         -427.984325          2.54                0.07         
CONF145       -32.505266          1.22          -427.981402          2.63           -1.522136         -427.983828          2.86                0.04         
CONF146       -32.504979          1.40          -427.981713          2.44           -1.702003         -427.984425          2.48                0.08         
CONF147       -32.505270          1.22          -427.981425          2.62           -1.518587         -427.983845          2.85                0.04         
CONF148       -32.505248          1.23          -427.981482          2.58           -1.523072         -427.983909          2.81                0.05         
CONF150       -32.505164          1.28          -427.980996          2.89           -1.569933         -427.983498          3.06                0.03         
CONF151       -32.504988          1.39          -427.984121          0.92           -1.675749         -427.986791          1.00                1.00         
CONF152       -32.504988          1.40          -427.984121          0.92           -1.674969         -427.986790          1.00                1.00         
CONF153       -32.504986          1.40          -427.983468          1.33           -1.675891         -427.986139          1.41                0.50         
CONF154       -32.504914          1.44          -427.983453          1.34           -1.718084         -427.986191          1.37                0.53         
CONF155       -32.504971          1.41          -427.983547          1.29           -1.671851         -427.986211          1.36                0.54         
CONF156       -32.505240          1.24          -427.982046          2.23           -1.488440         -427.984418          2.49                0.08         
CONF157       -32.504901          1.45          -427.982138          2.17           -1.700504         -427.984847          2.22                0.13         
CONF158       -32.504914          1.44          -427.983480          1.33           -1.689316         -427.986172          1.39                0.52         
CONF159       -32.505205          1.26          -427.981678          2.46           -1.504292         -427.984076          2.70                0.06         
CONF160       -32.504905          1.45          -427.982008          2.25           -1.693599         -427.984707          2.30                0.11         
CONF161       -32.505215          1.25          -427.981691          2.45           -1.496899         -427.984076          2.70                0.06         
CONF162       -32.505196          1.26          -427.981662          2.47           -1.507596         -427.984065          2.71                0.06         
CONF164       -32.504898          1.45          -427.982001          2.25           -1.689047         -427.984693          2.31                0.11         
CONF165       -32.504910          1.44          -427.981320          2.68           -1.676366         -427.983992          2.75                0.05         
CONF166       -32.504666          1.60          -427.979481          3.84           -1.826489         -427.982392          3.76                0.01         
CONF167       -32.504876          1.47          -427.983525          1.30           -1.692927         -427.986223          1.35                0.55         
CONF168       -32.504633          1.62          -427.979217          4.00           -1.843719         -427.982155          3.91                0.01         
CONF169       -32.504841          1.49          -427.983497          1.32           -1.708343         -427.986220          1.36                0.55         
CONF170       -32.505136          1.30          -427.981356          2.66           -1.519416         -427.983777          2.89                0.04         
CONF171       -32.505090          1.33          -427.981880          2.33           -1.545513         -427.984343          2.53                0.08         
CONF172       -32.505081          1.34          -427.981711          2.44           -1.545322         -427.984173          2.64                0.06         
CONF173       -32.504807          1.51          -427.983766          1.15           -1.712896         -427.986496          1.18                0.73         
CONF174       -32.504787          1.52          -427.983045          1.60           -1.722290         -427.985790          1.63                0.35         
CONF175       -32.505120          1.31          -427.981644          2.48           -1.512753         -427.984055          2.71                0.06         
CONF176       -32.504782          1.52          -427.983119          1.55           -1.722085         -427.985863          1.58                0.38         
CONF177       -32.505103          1.32          -427.981475          2.59           -1.516877         -427.983892          2.82                0.05         
CONF178       -32.505105          1.32          -427.981102          2.82           -1.512493         -427.983513          3.05                0.03         
CONF179       -32.505085          1.33          -427.981340          2.67           -1.512372         -427.983750          2.91                0.04         
CONF180       -32.504744          1.55          -427.983223          1.49           -1.723911         -427.985970          1.51                0.42         
CONF181       -32.505085          1.33          -427.981301          2.69           -1.509066         -427.983706          2.93                0.04         
CONF182       -32.504788          1.52          -427.984029          0.98           -1.692092         -427.986726          1.04                0.94         
CONF183       -32.504788          1.52          -427.984034          0.98           -1.690610         -427.986728          1.04                0.94         
CONF184       -32.505083          1.34          -427.981294          2.70           -1.509060         -427.983699          2.94                0.04         
CONF185       -32.504754          1.54          -427.983648          1.22           -1.710062         -427.986373          1.26                0.65         
CONF186       -32.504769          1.53          -427.983970          1.02           -1.693845         -427.986669          1.07                0.88         
CONF187       -32.504719          1.56          -427.983316          1.43           -1.722129         -427.986060          1.46                0.46         
CONF188       -32.504725          1.56          -427.983819          1.11           -1.718417         -427.986557          1.14                0.78         
CONF189       -32.504719          1.56          -427.983312          1.43           -1.721639         -427.986055          1.46                0.46         
CONF190       -32.504724          1.56          -427.983798          1.13           -1.718781         -427.986537          1.16                0.77         
CONF191       -32.505083          1.34          -427.981660          2.47           -1.490293         -427.984035          2.73                0.05         
CONF192       -32.504837          1.49          -427.983163          1.53           -1.642287         -427.985780          1.63                0.34         
CONF193       -32.505003          1.39          -427.981455          2.60           -1.531979         -427.983896          2.81                0.05         
CONF194       -32.505012          1.38          -427.981880          2.33           -1.521491         -427.984304          2.56                0.07         
CONF195       -32.505054          1.35          -427.981505          2.57           -1.489877         -427.983880          2.82                0.05         
CONF196       -32.505042          1.36          -427.981442          2.61           -1.497204         -427.983828          2.86                0.04         
CONF197       -32.505081          1.34          -427.981301          2.69           -1.510883         -427.983709          2.93                0.04         
CONF198       -32.505033          1.37          -427.981441          2.61           -1.500381         -427.983832          2.85                0.04         
CONF199       -32.505046          1.36          -427.981620          2.49           -1.489721         -427.983994          2.75                0.05         
CONF201       -32.505041          1.36          -427.981621          2.49           -1.489502         -427.983994          2.75                0.05         
CONF202       -32.504802          1.51          -427.983433          1.36           -1.635473         -427.986039          1.47                0.45         
CONF203       -32.504683          1.59          -427.983218          1.49           -1.709035         -427.985942          1.53                0.41         
CONF204       -32.505030          1.37          -427.981667          2.46           -1.487708         -427.984038          2.72                0.05         
CONF205       -32.504494          1.71          -427.979294          3.95           -1.829665         -427.982209          3.87                0.01         
CONF206       -32.504739          1.55          -427.982607          1.87           -1.669852         -427.985268          1.95                0.20         
CONF208       -32.504981          1.40          -427.981627          2.49           -1.508239         -427.984030          2.73                0.05         
CONF209       -32.504638          1.61          -427.982930          1.67           -1.722603         -427.985675          1.70                0.31         
CONF210       -32.504908          1.45          -427.981358          2.66           -1.551960         -427.983832          2.85                0.04         
CONF211       -32.505002          1.39          -427.981437          2.61           -1.491244         -427.983813          2.87                0.04         
CONF212       -32.505007          1.38          -427.981219          2.75           -1.487714         -427.983590          3.01                0.03         
CONF213       -32.504906          1.45          -427.981418          2.62           -1.551020         -427.983890          2.82                0.05         
CONF214       -32.505010          1.38          -427.981205          2.75           -1.485778         -427.983572          3.02                0.03         
CONF215       -32.504899          1.45          -427.980980          2.90           -1.554822         -427.983458          3.09                0.03         
CONF216       -32.504825          1.50          -427.981664          2.47           -1.598375         -427.984211          2.62                0.07         
CONF217       -32.504822          1.50          -427.981717          2.43           -1.598177         -427.984264          2.58                0.07         
CONF218       -32.504675          1.59          -427.980753          3.04           -1.691426         -427.983449          3.09                0.03         
CONF219       -32.504894          1.45          -427.981143          2.79           -1.551618         -427.983615          2.99                0.03         
CONF220       -32.504883          1.46          -427.980952          2.91           -1.550573         -427.983423          3.11                0.03         
CONF221       -32.504707          1.57          -427.983047          1.60           -1.659279         -427.985691          1.69                0.31         
CONF222       -32.504705          1.57          -427.983075          1.58           -1.657727         -427.985717          1.67                0.32         
CONF223       -32.504873          1.47          -427.981598          2.51           -1.551716         -427.984071          2.70                0.06         
CONF224       -32.504868          1.47          -427.981633          2.49           -1.553383         -427.984108          2.68                0.06         
CONF225       -32.504970          1.41          -427.981781          2.39           -1.484868         -427.984147          2.66                0.06         
CONF226       -32.504955          1.42          -427.981922          2.30           -1.493220         -427.984302          2.56                0.07         
CONF227       -32.504598          1.64          -427.983763          1.15           -1.716745         -427.986498          1.18                0.74         
CONF228       -32.504959          1.41          -427.981792          2.39           -1.486430         -427.984161          2.65                0.06         
CONF229       -32.504922          1.44          -427.981355          2.66           -1.505139         -427.983754          2.90                0.04         
CONF230       -32.504930          1.43          -427.981147          2.79           -1.499378         -427.983536          3.04                0.03         
CONF231       -32.504931          1.43          -427.981282          2.71           -1.499542         -427.983671          2.95                0.04         
CONF232       -32.504950          1.42          -427.981915          2.31           -1.482593         -427.984278          2.57                0.07         
CONF233       -32.504939          1.43          -427.981900          2.32           -1.487097         -427.984270          2.58                0.07         
CONF234       -32.504866          1.47          -427.981764          2.40           -1.534216         -427.984209          2.62                0.07         
CONF235       -32.504630          1.62          -427.981170          2.78           -1.680391         -427.983848          2.84                0.04         
CONF236       -32.504934          1.43          -427.981809          2.38           -1.486879         -427.984179          2.64                0.06         
CONF237       -32.504876          1.47          -427.981725          2.43           -1.522341         -427.984151          2.65                0.06         
CONF238       -32.504624          1.62          -427.981050          2.85           -1.677880         -427.983723          2.92                0.04         
CONF239       -32.504607          1.63          -427.981273          2.71           -1.687220         -427.983962          2.77                0.05         
CONF240       -32.504874          1.47          -427.981523          2.55           -1.519484         -427.983944          2.78                0.05         
CONF241       -32.504818          1.50          -427.981581          2.52           -1.548877         -427.984049          2.72                0.06         
CONF242       -32.504811          1.51          -427.981093          2.82           -1.552796         -427.983568          3.02                0.03         
CONF243       -32.504807          1.51          -427.981114          2.81           -1.552591         -427.983589          3.01                0.03         
CONF244       -32.504802          1.51          -427.981252          2.72           -1.549827         -427.983722          2.92                0.04         
CONF245       -32.504892          1.46          -427.981524          2.55           -1.487040         -427.983894          2.81                0.05         
CONF246       -32.504773          1.53          -427.981259          2.72           -1.550199         -427.983730          2.92                0.04         
CONF247       -32.504768          1.53          -427.981186          2.77           -1.551509         -427.983658          2.96                0.04         
CONF248       -32.504605          1.64          -427.981426          2.62           -1.647332         -427.984051          2.72                0.06         
CONF249       -32.504858          1.48          -427.981322          2.68           -1.487401         -427.983692          2.94                0.04         
CONF250       -32.504609          1.63          -427.983092          1.57           -1.641138         -427.985708          1.68                0.32         
CONF251       -32.504817          1.50          -427.981059          2.85           -1.508255         -427.983463          3.09                0.03         
CONF252       -32.504815          1.50          -427.981355          2.66           -1.508353         -427.983759          2.90                0.04         
CONF253       -32.504868          1.47          -427.982041          2.23           -1.474359         -427.984390          2.50                0.08         
CONF254       -32.504740          1.55          -427.980590          3.14           -1.545231         -427.983052          3.34                0.02         
CONF255       -32.504770          1.53          -427.981497          2.57           -1.514702         -427.983911          2.80                0.05         
CONF256       -32.504718          1.56          -427.981128          2.80           -1.534719         -427.983573          3.02                0.03         
CONF257       -32.504781          1.53          -427.981067          2.84           -1.494559         -427.983449          3.09                0.03         
CONF258       -32.504691          1.58          -427.980923          2.93           -1.545567         -427.983386          3.13                0.03         
CONF259       -32.504500          1.70          -427.982837          1.73           -1.657426         -427.985478          1.82                0.25         
CONF260       -32.504720          1.56          -427.981323          2.68           -1.525660         -427.983754          2.90                0.04         
CONF261       -32.504500          1.70          -427.982764          1.78           -1.657419         -427.985406          1.87                0.23         
CONF262       -32.504497          1.70          -427.982854          1.72           -1.659228         -427.985498          1.81                0.26         
CONF263       -32.504503          1.70          -427.983143          1.54           -1.651609         -427.985775          1.63                0.34         
CONF264       -32.504574          1.65          -427.983126          1.55           -1.602405         -427.985680          1.69                0.31         
CONF265       -32.504581          1.65          -427.983098          1.57           -1.595456         -427.985641          1.72                0.30         
CONF266       -32.504564          1.66          -427.983160          1.53           -1.604421         -427.985717          1.67                0.32         
CONF267       -32.504573          1.66          -427.983150          1.53           -1.602666         -427.985704          1.68                0.32         
CONF268       -32.504749          1.54          -427.981047          2.85           -1.491448         -427.983424          3.11                0.03         
CONF269       -32.504456          1.73          -427.982501          1.94           -1.667921         -427.985159          2.02                0.18         
CONF270       -32.504477          1.72          -427.983103          1.56           -1.650168         -427.985732          1.66                0.33         
CONF271       -32.504435          1.74          -427.983139          1.54           -1.662607         -427.985789          1.63                0.35         
CONF272       -32.504420          1.75          -427.983083          1.58           -1.662452         -427.985733          1.66                0.33         
CONF273       -32.504424          1.75          -427.982951          1.66           -1.658762         -427.985595          1.75                0.28         
CONF274       -32.504487          1.71          -427.983264          1.46           -1.618126         -427.985842          1.59                0.37         
CONF275       -32.504424          1.75          -427.982960          1.65           -1.657874         -427.985602          1.74                0.28         
CONF276       -32.504579          1.65          -427.980965          2.91           -1.553761         -427.983441          3.10                0.03         
CONF277       -32.504570          1.66          -427.981036          2.86           -1.539093         -427.983489          3.07                0.03         
CONF278       -32.504611          1.63          -427.981226          2.74           -1.505680         -427.983626          2.98                0.04         
CONF279       -32.504512          1.69          -427.980578          3.15           -1.557898         -427.983060          3.34                0.02         
CONF281       -32.504506          1.70          -427.980765          3.03           -1.552296         -427.983239          3.23                0.02         
CONF282       -32.504497          1.70          -427.980761          3.03           -1.544339         -427.983222          3.24                0.02         
CONF283       -32.504337          1.80          -427.983396          1.38           -1.644709         -427.986017          1.48                0.44         
CONF284       -32.504533          1.68          -427.981508          2.56           -1.515472         -427.983923          2.80                0.05         
CONF285       -32.504336          1.80          -427.983396          1.38           -1.645234         -427.986018          1.48                0.44         
CONF286       -32.504288          1.83          -427.981549          2.54           -1.664744         -427.984202          2.62                0.06         
CONF287       -32.504315          1.82          -427.982926          1.67           -1.643858         -427.985546          1.78                0.27         
CONF288       -32.504283          1.84          -427.981619          2.49           -1.661562         -427.984267          2.58                0.07         
CONF289       -32.504323          1.81          -427.982867          1.71           -1.635270         -427.985473          1.82                0.25         
