 CONF#         E (xTB)          ΔE (xTB)          E (DFT)           ΔE (DFT)        ΔGsolv (xTB)           Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]           [Eh]           [kcal/mol]        [kcal/mol]            [Eh]           [kcal/mol]        % at 298.15 K     
CONF197       -56.762605          2.39          -2572.687196          3.21           -4.556442         -2572.694457          2.82                0.03         
CONF198       -56.761635          2.99          -2572.686487          3.65           -5.145652         -2572.694687          2.67                0.04         
CONF199       -56.760405          3.77          -2572.684809          4.70           -5.917711         -2572.694240          2.95                0.03         
CONF200       -56.761490          3.09          -2572.686893          3.40           -5.234281         -2572.695235          2.33                0.08         
CONF201       -56.760133          3.94          -2572.686292          3.77           -6.076992         -2572.695977          1.86                0.17         
CONF203       -56.760314          3.82          -2572.683301          5.65           -5.958806         -2572.692797          3.86                0.01         
CONF204       -56.762910          2.19          -2572.687625          2.94           -4.322644         -2572.694514          2.78                0.04         
CONF207       -56.762975          2.15          -2572.687948          2.73           -4.266564         -2572.694747          2.63                0.05         
CONF208       -56.760621          3.63          -2572.684573          4.85           -5.730424         -2572.693705          3.29                0.02         
CONF209       -56.760644          3.62          -2572.684612          4.83           -5.712413         -2572.693715          3.28                0.02         
CONF210       -56.760757          3.55          -2572.684958          4.61           -5.640660         -2572.693947          3.14                0.02         
CONF211       -56.763081          2.09          -2572.688817          2.19           -4.172063         -2572.695465          2.18                0.10         
CONF212       -56.761250          3.24          -2572.689055          2.04           -5.315169         -2572.697525          0.89                0.87         
CONF213       -56.761223          3.25          -2572.688920          2.12           -5.328196         -2572.697411          0.96                0.77         
CONF214       -56.761196          3.27          -2572.688934          2.12           -5.340312         -2572.697444          0.94                0.80         
CONF215       -56.760098          3.96          -2572.688605          2.32           -6.024612         -2572.698206          0.46                1.79         
CONF216       -56.760044          3.99          -2572.688527          2.37           -6.053840         -2572.698175          0.48                1.73         
CONF217       -56.760057          3.99          -2572.688546          2.36           -6.046517         -2572.698181          0.48                1.74         
CONF219       -56.760019          4.01          -2572.688478          2.40           -6.066405         -2572.698146          0.50                1.68         
CONF220       -56.760673          3.60          -2572.683752          5.37           -5.652080         -2572.692759          3.88                0.01         
CONF221       -56.761533          3.06          -2572.686640          3.56           -5.111609         -2572.694786          2.61                0.05         
CONF223       -56.759945          4.06          -2572.686548          3.61           -6.103699         -2572.696275          1.68                0.23         
CONF224       -56.759940          4.06          -2572.686660          3.54           -6.099909         -2572.696381          1.61                0.26         
CONF225       -56.759954          4.05          -2572.686790          3.46           -6.099406         -2572.696510          1.53                0.30         
CONF226       -56.759933          4.06          -2572.686705          3.51           -6.107366         -2572.696438          1.57                0.27         
CONF227       -56.763021          2.13          -2572.687919          2.75           -4.153954         -2572.694538          2.77                0.04         
CONF228       -56.763107          2.07          -2572.689046          2.05           -4.099121         -2572.695579          2.11                0.11         
CONF229       -56.763131          2.06          -2572.689189          1.96           -4.067969         -2572.695672          2.05                0.12         
CONF230       -56.761640          2.99          -2572.685464          4.29           -4.995009         -2572.693424          3.46                0.01         
CONF231       -56.761477          3.09          -2572.689505          1.76           -5.094204         -2572.697623          0.83                0.96         
CONF232       -56.760402          3.77          -2572.684894          4.65           -5.776051         -2572.694099          3.04                0.02         
CONF233       -56.761478          3.09          -2572.689560          1.72           -5.093391         -2572.697677          0.80                1.02         
CONF234       -56.760374          3.79          -2572.684763          4.73           -5.786180         -2572.693984          3.11                0.02         
CONF235       -56.761641          2.99          -2572.685473          4.29           -4.999524         -2572.693440          3.45                0.01         
CONF236       -56.761484          3.09          -2572.689414          1.81           -5.083330         -2572.697514          0.90                0.86         
CONF237       -56.761328          3.19          -2572.689819          1.56           -5.174075         -2572.698065          0.55                1.54         
CONF238       -56.761324          3.19          -2572.689647          1.67           -5.168924         -2572.697884          0.67                1.27         
CONF239       -56.762178          2.65          -2572.685391          4.34           -4.628809         -2572.692767          3.88                0.01         
CONF240       -56.760472          3.73          -2572.684436          4.94           -5.688007         -2572.693501          3.42                0.01         
CONF241       -56.760152          3.93          -2572.684282          5.03           -5.888334         -2572.693666          3.31                0.01         
CONF242       -56.761975          2.78          -2572.685298          4.40           -4.746308         -2572.692861          3.82                0.01         
CONF243       -56.760139          3.93          -2572.684256          5.05           -5.895365         -2572.693651          3.32                0.01         
CONF246       -56.761884          2.84          -2572.685030          4.57           -4.793376         -2572.692669          3.94                0.01         
CONF247       -56.760197          3.90          -2572.683595          5.47           -5.845538         -2572.692910          3.79                0.01         
CONF248       -56.763444          1.86          -2572.689592          1.70           -3.799996         -2572.695648          2.07                0.12         
CONF249       -56.763504          1.82          -2572.689782          1.58           -3.770950         -2572.695791          1.98                0.14         
CONF250       -56.760192          3.90          -2572.683481          5.54           -5.841557         -2572.692790          3.86                0.01         
CONF251       -56.762198          2.64          -2572.687303          3.14           -4.575570         -2572.694595          2.73                0.04         
CONF252       -56.762199          2.64          -2572.687361          3.10           -4.574765         -2572.694651          2.69                0.04         
CONF253       -56.762305          2.57          -2572.687728          2.87           -4.507307         -2572.694911          2.53                0.05         
CONF254       -56.762296          2.58          -2572.687590          2.96           -4.511714         -2572.694780          2.61                0.05         
CONF255       -56.762220          2.63          -2572.687360          3.10           -4.561917         -2572.694630          2.71                0.04         
CONF256       -56.762323          2.56          -2572.687670          2.91           -4.494237         -2572.694832          2.58                0.05         
CONF257       -56.762298          2.58          -2572.687464          3.04           -4.512820         -2572.694655          2.69                0.04         
CONF258       -56.759912          4.08          -2572.685092          4.53           -6.025358         -2572.694694          2.67                0.04         
CONF259       -56.762024          2.75          -2572.686018          3.95           -4.665272         -2572.693452          3.45                0.01         
CONF260       -56.761992          2.77          -2572.685999          3.96           -4.684796         -2572.693465          3.44                0.01         
CONF262       -56.759464          4.36          -2572.682779          5.98           -6.255103         -2572.692747          3.89                0.01         
CONF263       -56.761954          2.79          -2572.686403          3.70           -4.703343         -2572.693898          3.17                0.02         
CONF264       -56.763674          1.72          -2572.691062          0.78           -3.602409         -2572.696803          1.34                0.40         
CONF266       -56.761132          3.31          -2572.684695          4.78           -5.194169         -2572.692972          3.75                0.01         
CONF267       -56.762262          2.60          -2572.686813          3.45           -4.482871         -2572.693957          3.13                0.02         
CONF268       -56.760127          3.94          -2572.684665          4.79           -5.815551         -2572.693932          3.15                0.02         
CONF269       -56.760136          3.94          -2572.684349          4.99           -5.808274         -2572.693605          3.35                0.01         
CONF271       -56.760173          3.91          -2572.683972          5.23           -5.768120         -2572.693164          3.63                0.01         
CONF272       -56.762636          2.37          -2572.685916          4.01           -4.202251         -2572.692613          3.97                0.00         
CONF273       -56.762645          2.36          -2572.686039          3.93           -4.194350         -2572.692723          3.90                0.01         
CONF275       -56.760232          3.88          -2572.684241          5.06           -5.704737         -2572.693332          3.52                0.01         
CONF276       -56.762705          2.32          -2572.686295          3.77           -4.138621         -2572.692890          3.80                0.01         
CONF277       -56.760394          3.77          -2572.686112          3.89           -5.587284         -2572.695015          2.47                0.06         
CONF278       -56.760402          3.77          -2572.686123          3.88           -5.585780         -2572.695024          2.46                0.06         
CONF279       -56.759494          4.34          -2572.684451          4.93           -6.155066         -2572.694260          2.94                0.03         
CONF280       -56.762714          2.32          -2572.686326          3.75           -4.130360         -2572.692908          3.79                0.01         
CONF281       -56.760169          3.91          -2572.683953          5.24           -5.712244         -2572.693056          3.70                0.01         
CONF282       -56.760883          3.47          -2572.685703          4.14           -5.256404         -2572.694080          3.05                0.02         
CONF283       -56.760861          3.48          -2572.685800          4.08           -5.269305         -2572.694198          2.98                0.03         
CONF284       -56.760826          3.50          -2572.685873          4.04           -5.287575         -2572.694300          2.92                0.03         
CONF285       -56.760202          3.89          -2572.684242          5.06           -5.719068         -2572.693356          3.51                0.01         
CONF287       -56.760106          3.95          -2572.684024          5.20           -5.775572         -2572.693228          3.59                0.01         
CONF289       -56.762582          2.40          -2572.686365          3.73           -4.181027         -2572.693028          3.71                0.01         
CONF290       -56.761371          3.16          -2572.687200          3.20           -4.936554         -2572.695067          2.43                0.06         
CONF291       -56.761303          3.20          -2572.687433          3.06           -4.980155         -2572.695369          2.24                0.09         
CONF292       -56.763078          2.09          -2572.689925          1.49           -3.863333         -2572.696082          1.80                0.19         
CONF293       -56.761419          3.13          -2572.687118          3.26           -4.901794         -2572.694929          2.52                0.06         
CONF294       -56.760735          3.56          -2572.685709          4.14           -5.329511         -2572.694203          2.98                0.03         
CONF295       -56.761469          3.10          -2572.687092          3.27           -4.862681         -2572.694841          2.58                0.05         
CONF296       -56.760688          3.59          -2572.685879          4.03           -5.350671         -2572.694406          2.85                0.03         
CONF297       -56.761210          3.26          -2572.687389          3.09           -5.031609         -2572.695407          2.22                0.09         
CONF298       -56.761474          3.10          -2572.686896          3.39           -4.855776         -2572.694634          2.71                0.04         
CONF299       -56.761089          3.34          -2572.688877          2.15           -5.077105         -2572.696968          1.24                0.48         
CONF300       -56.759741          4.18          -2572.683728          5.38           -5.922523         -2572.693166          3.63                0.01         
CONF301       -56.760521          3.69          -2572.685704          4.14           -5.428899         -2572.694356          2.88                0.03         
CONF303       -56.759432          4.38          -2572.683210          5.71           -6.102238         -2572.692934          3.77                0.01         
CONF305       -56.759647          4.24          -2572.685727          4.13           -5.938287         -2572.695191          2.36                0.07         
CONF306       -56.759610          4.27          -2572.685608          4.20           -5.940164         -2572.695074          2.43                0.06         
CONF308       -56.759349          4.43          -2572.683597          5.46           -6.058784         -2572.693252          3.57                0.01         
CONF309       -56.760648          3.61          -2572.686964          3.35           -5.238646         -2572.695312          2.28                0.08         
CONF310       -56.760631          3.63          -2572.687184          3.21           -5.252454         -2572.695555          2.13                0.11         
CONF311       -56.759748          4.18          -2572.684319          5.01           -5.797965         -2572.693559          3.38                0.01         
CONF312       -56.759867          4.10          -2572.683982          5.22           -5.717209         -2572.693093          3.67                0.01         
CONF313       -56.760791          3.52          -2572.684699          4.77           -5.141635         -2572.692892          3.80                0.01         
CONF314       -56.759749          4.18          -2572.684360          4.99           -5.797172         -2572.693598          3.36                0.01         
CONF315       -56.760741          3.56          -2572.684721          4.76           -5.166652         -2572.692954          3.76                0.01         
CONF318       -56.758446          5.00          -2572.682127          6.39           -6.585500         -2572.692622          3.97                0.00         
CONF321       -56.763063          2.10          -2572.689439          1.80           -3.664726         -2572.695279          2.30                0.08         
CONF322       -56.763009          2.13          -2572.689144          1.98           -3.696717         -2572.695035          2.45                0.06         
CONF324       -56.759610          4.27          -2572.685322          4.38           -5.799501         -2572.694564          2.75                0.04         
CONF325       -56.759648          4.24          -2572.685377          4.35           -5.765046         -2572.694564          2.75                0.04         
CONF326       -56.759901          4.08          -2572.684081          5.16           -5.608121         -2572.693018          3.72                0.01         
CONF327       -56.761014          3.38          -2572.690236          1.30           -4.907318         -2572.698056          0.56                1.53         
CONF328       -56.761013          3.39          -2572.690172          1.34           -4.906177         -2572.697991          0.60                1.42         
CONF329       -56.760941          3.43          -2572.689639          1.67           -4.937431         -2572.697508          0.90                0.85         
CONF331       -56.762244          2.61          -2572.687509          3.01           -4.099112         -2572.694041          3.08                0.02         
